texto,emocao
Ganhei um prêmio que não esperava.,surpresa
Meu colega foi muito desrespeitoso comigo.,raiva
Ver falta de higiene em restaurantes me incomoda.,nojo
O mau cheiro me fez sair imediatamente.,nojo
Não gosto de lugares muito cheios, fico tenso.,medo
Recebi uma ligação inesperada.,surpresa
O silêncio me faz sentir mais só.,tristeza
O filme era tão triste que chorei.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
O pôr do sol estava lindo esta tarde.,alegria
Me despedi de alguém muito querido.,tristeza
Meu colega foi muito desrespeitoso comigo.,raiva
Discuti feio no trânsito hoje.,raiva
O escuro me causa ansiedade.,medo
Detesto insetos dentro de casa.,nojo
Não consegui o que tanto queria.,tristeza
O silêncio me faz sentir mais só.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
O filme era tão triste que chorei.,tristeza
Barulhos estranhos me deixam nervoso à noite.,medo
O pôr do sol estava lindo esta tarde.,alegria
Me despedi de alguém muito querido.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
O cheiro daquele lugar era insuportável.,nojo
O filme era tão triste que chorei.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Hoje tudo parece dar errado.,tristeza
A injustiça me deixa indignado.,raiva
A comida estava estragada e tive ânsia.,nojo
O cheiro daquele lugar era insuportável.,nojo
Estou cansado de tanta desorganização.,raiva
Barulhos estranhos me deixam nervoso à noite.,medo
Sinto saudades dos velhos tempos.,tristeza
Meu cachorro pulou em mim de alegria.,alegria
Ver lixo espalhado me dá repulsa.,nojo
Recebi uma ligação inesperada.,surpresa
O escuro me causa ansiedade.,medo
Tenho medo de altura desde pequeno.,medo
A injustiça me deixa indignado.,raiva
O pôr do sol estava lindo esta tarde.,alegria
O cheiro daquele lugar era insuportável.,nojo
Meu cachorro pulou em mim de alegria.,alegria
Tenho medo de altura desde pequeno.,medo
Sinto saudades dos velhos tempos.,tristeza
Meu cachorro pulou em mim de alegria.,alegria
Achei dinheiro no bolso do casaco.,surpresa
Ganhei um presente especial de aniversário.,alegria
Fui promovido de última hora.,surpresa
O escuro me causa ansiedade.,medo
Descobri um talento que nem imaginava.,surpresa
A comida estava estragada e tive ânsia.,nojo
O cheiro daquele lugar era insuportável.,nojo
Sonhei com algo assustador e acordei suando.,medo
Discuti feio no trânsito hoje.,raiva
Não gosto de lugares muito cheios, fico tenso.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
Achei dinheiro no bolso do casaco.,surpresa
Ver lixo espalhado me dá repulsa.,nojo
Meu colega foi muito desrespeitoso comigo.,raiva
Meus amigos vieram me visitar de surpresa.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Meus amigos vieram me visitar de surpresa.,alegria
Não aceito ser tratado desse jeito.,raiva
Tenho medo de altura desde pequeno.,medo
Meus amigos vieram me visitar de surpresa.,alegria
Sonhei com algo assustador e acordei suando.,medo
Estou cansado de tanta desorganização.,raiva
Hoje tudo parece dar errado.,tristeza
Detesto insetos dentro de casa.,nojo
O mau cheiro me fez sair imediatamente.,nojo
O silêncio me faz sentir mais só.,tristeza
Estou cansado de tanta desorganização.,raiva
Ver lixo espalhado me dá repulsa.,nojo
Meu cachorro pulou em mim de alegria.,alegria
Sonhei com algo assustador e acordei suando.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
Sinto saudades dos velhos tempos.,tristeza
Sinto saudades dos velhos tempos.,tristeza
Não gosto de lugares muito cheios, fico tenso.,medo
Ganhei um prêmio que não esperava.,surpresa
O mau cheiro me fez sair imediatamente.,nojo
Fui promovido de última hora.,surpresa
Não gosto de lugares muito cheios, fico tenso.,medo
O silêncio me faz sentir mais só.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
Meu cachorro pulou em mim de alegria.,alegria
Tenho medo de altura desde pequeno.,medo
Meu colega foi muito desrespeitoso comigo.,raiva
Barulhos estranhos me deixam nervoso à noite.,medo
Meu colega foi muito desrespeitoso comigo.,raiva
Sonhei com algo assustador e acordei suando.,medo
Fui promovido de última hora.,surpresa
Estou cansado de tanta desorganização.,raiva
Ganhei um presente especial de aniversário.,alegria
Me convidaram para viajar de repente.,surpresa
Ganhei um prêmio que não esperava.,surpresa
O cheiro daquele lugar era insuportável.,nojo
Sonhei com algo assustador e acordei suando.,medo
Ouvir minha música favorita me deixou animado.,alegria
Enfrentar desafios desconhecidos me apavora.,medo
Sonhei com algo assustador e acordei suando.,medo
Não aceito ser tratado desse jeito.,raiva
Meu cachorro pulou em mim de alegria.,alegria
O cheiro daquele lugar era insuportável.,nojo
Recebi uma ligação inesperada.,surpresa
Hoje tudo parece dar errado.,tristeza
Fui promovido de última hora.,surpresa
Barulhos estranhos me deixam nervoso à noite.,medo
Ouvir minha música favorita me deixou animado.,alegria
Recebi uma ligação inesperada.,surpresa
O pôr do sol estava lindo esta tarde.,alegria
O pôr do sol estava lindo esta tarde.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Ver falta de higiene em restaurantes me incomoda.,nojo
Meu cachorro pulou em mim de alegria.,alegria
Hoje recebi uma ótima notícia no trabalho.,alegria
Fui promovido de última hora.,surpresa
Hoje recebi uma ótima notícia no trabalho.,alegria
Hoje recebi uma ótima notícia no trabalho.,alegria
Me convidaram para viajar de repente.,surpresa
Meu colega foi muito desrespeitoso comigo.,raiva
Barulhos estranhos me deixam nervoso à noite.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
Hoje recebi uma ótima notícia no trabalho.,alegria
Me convidaram para viajar de repente.,surpresa
A comida estava estragada e tive ânsia.,nojo
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Não aceito ser tratado desse jeito.,raiva
O escuro me causa ansiedade.,medo
Meu colega foi muito desrespeitoso comigo.,raiva
Recebi uma ligação inesperada.,surpresa
Recebi uma ligação inesperada.,surpresa
Ver lixo espalhado me dá repulsa.,nojo
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Me despedi de alguém muito querido.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Não consegui o que tanto queria.,tristeza
Tenho medo de altura desde pequeno.,medo
Hoje recebi uma ótima notícia no trabalho.,alegria
Descobri um talento que nem imaginava.,surpresa
Não gosto de lugares muito cheios, fico tenso.,medo
Fui promovido de última hora.,surpresa
O cheiro daquele lugar era insuportável.,nojo
Ver falta de higiene em restaurantes me incomoda.,nojo
Hoje tudo parece dar errado.,tristeza
Não consegui o que tanto queria.,tristeza
Meu colega foi muito desrespeitoso comigo.,raiva
O mau cheiro me fez sair imediatamente.,nojo
Sonhei com algo assustador e acordei suando.,medo
Meus amigos vieram me visitar de surpresa.,alegria
Ver lixo espalhado me dá repulsa.,nojo
Ganhei um prêmio que não esperava.,surpresa
O escuro me causa ansiedade.,medo
Hoje tudo parece dar errado.,tristeza
Fui promovido de última hora.,surpresa
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Não aceito ser tratado desse jeito.,raiva
Não consegui o que tanto queria.,tristeza
Enfrentar desafios desconhecidos me apavora.,medo
Fui promovido de última hora.,surpresa
A comida estava estragada e tive ânsia.,nojo
O silêncio me faz sentir mais só.,tristeza
Ganhei um presente especial de aniversário.,alegria
Tenho medo de altura desde pequeno.,medo
Enfrentar desafios desconhecidos me apavora.,medo
Meu colega foi muito desrespeitoso comigo.,raiva
Ver falta de higiene em restaurantes me incomoda.,nojo
Sinto saudades dos velhos tempos.,tristeza
Enfrentar desafios desconhecidos me apavora.,medo
A comida estava estragada e tive ânsia.,nojo
Hoje recebi uma ótima notícia no trabalho.,alegria
Ver lixo espalhado me dá repulsa.,nojo
Ver lixo espalhado me dá repulsa.,nojo
A injustiça me deixa indignado.,raiva
Sinto saudades dos velhos tempos.,tristeza
Sonhei com algo assustador e acordei suando.,medo
O pôr do sol estava lindo esta tarde.,alegria
Barulhos estranhos me deixam nervoso à noite.,medo
Hoje recebi uma ótima notícia no trabalho.,alegria
O cheiro daquele lugar era insuportável.,nojo
Ganhei um presente especial de aniversário.,alegria
Descobri um talento que nem imaginava.,surpresa
Fui promovido de última hora.,surpresa
O filme era tão triste que chorei.,tristeza
Enfrentar desafios desconhecidos me apavora.,medo
O escuro me causa ansiedade.,medo
Discuti feio no trânsito hoje.,raiva
Hoje tudo parece dar errado.,tristeza
Sinto saudades dos velhos tempos.,tristeza
Tenho medo de altura desde pequeno.,medo
Ouvir minha música favorita me deixou animado.,alegria
Recebi uma ligação inesperada.,surpresa
Me despedi de alguém muito querido.,tristeza
Me despedi de alguém muito querido.,tristeza
Ganhei um prêmio que não esperava.,surpresa
Recebi uma ligação inesperada.,surpresa
Recebi uma ligação inesperada.,surpresa
Detesto insetos dentro de casa.,nojo
Me convidaram para viajar de repente.,surpresa
Me convidaram para viajar de repente.,surpresa
Estou cansado de tanta desorganização.,raiva
Descobri um talento que nem imaginava.,surpresa
O pôr do sol estava lindo esta tarde.,alegria
O escuro me causa ansiedade.,medo
Não aceito ser tratado desse jeito.,raiva
Sonhei com algo assustador e acordei suando.,medo
Não consegui o que tanto queria.,tristeza
Detesto insetos dentro de casa.,nojo
Tenho medo de altura desde pequeno.,medo
Não consegui o que tanto queria.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Detesto insetos dentro de casa.,nojo
Ganhei um presente especial de aniversário.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Meu colega foi muito desrespeitoso comigo.,raiva
Meu cachorro pulou em mim de alegria.,alegria
Me convidaram para viajar de repente.,surpresa
O pôr do sol estava lindo esta tarde.,alegria
Hoje tudo parece dar errado.,tristeza
Sinto saudades dos velhos tempos.,tristeza
O pôr do sol estava lindo esta tarde.,alegria
O silêncio me faz sentir mais só.,tristeza
Sonhei com algo assustador e acordei suando.,medo
O silêncio me faz sentir mais só.,tristeza
Tenho medo de altura desde pequeno.,medo
Me despedi de alguém muito querido.,tristeza
Não gosto de lugares muito cheios, fico tenso.,medo
O silêncio me faz sentir mais só.,tristeza
Ganhei um prêmio que não esperava.,surpresa
Sonhei com algo assustador e acordei suando.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
Sinto saudades dos velhos tempos.,tristeza
Tenho medo de altura desde pequeno.,medo
Estou cansado de tanta desorganização.,raiva
Hoje recebi uma ótima notícia no trabalho.,alegria
Ouvir minha música favorita me deixou animado.,alegria
Barulhos estranhos me deixam nervoso à noite.,medo
O filme era tão triste que chorei.,tristeza
Discuti feio no trânsito hoje.,raiva
Hoje tudo parece dar errado.,tristeza
Não consegui o que tanto queria.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Hoje recebi uma ótima notícia no trabalho.,alegria
Ouvir minha música favorita me deixou animado.,alegria
Discuti feio no trânsito hoje.,raiva
Ganhei um prêmio que não esperava.,surpresa
Ver falta de higiene em restaurantes me incomoda.,nojo
Hoje tudo parece dar errado.,tristeza
Me convidaram para viajar de repente.,surpresa
Recebi uma ligação inesperada.,surpresa
Estou cansado de tanta desorganização.,raiva
O filme era tão triste que chorei.,tristeza
Ouvir minha música favorita me deixou animado.,alegria
O escuro me causa ansiedade.,medo
Não consegui o que tanto queria.,tristeza
Ganhei um prêmio que não esperava.,surpresa
Meu colega foi muito desrespeitoso comigo.,raiva
Discuti feio no trânsito hoje.,raiva
Me convidaram para viajar de repente.,surpresa
Me convidaram para viajar de repente.,surpresa
O mau cheiro me fez sair imediatamente.,nojo
A comida estava estragada e tive ânsia.,nojo
Ver falta de higiene em restaurantes me incomoda.,nojo
Estou cansado de tanta desorganização.,raiva
Ouvir minha música favorita me deixou animado.,alegria
Não gosto de lugares muito cheios, fico tenso.,medo
Meu colega foi muito desrespeitoso comigo.,raiva
Fui promovido de última hora.,surpresa
O filme era tão triste que chorei.,tristeza
Não aceito ser tratado desse jeito.,raiva
Enfrentar desafios desconhecidos me apavora.,medo
O filme era tão triste que chorei.,tristeza
Sonhei com algo assustador e acordei suando.,medo
O filme era tão triste que chorei.,tristeza
Enfrentar desafios desconhecidos me apavora.,medo
Enfrentar desafios desconhecidos me apavora.,medo
Ouvir minha música favorita me deixou animado.,alegria
Ouvir minha música favorita me deixou animado.,alegria
O escuro me causa ansiedade.,medo
Detesto insetos dentro de casa.,nojo
Barulhos estranhos me deixam nervoso à noite.,medo
Ganhei um presente especial de aniversário.,alegria
Me convidaram para viajar de repente.,surpresa
O silêncio me faz sentir mais só.,tristeza
Fui promovido de última hora.,surpresa
Sonhei com algo assustador e acordei suando.,medo
Hoje tudo parece dar errado.,tristeza
Sonhei com algo assustador e acordei suando.,medo
A injustiça me deixa indignado.,raiva
Me despedi de alguém muito querido.,tristeza
Barulhos estranhos me deixam nervoso à noite.,medo
Não gosto de lugares muito cheios, fico tenso.,medo
Ver lixo espalhado me dá repulsa.,nojo
O cheiro daquele lugar era insuportável.,nojo
Ouvir minha música favorita me deixou animado.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
A comida estava estragada e tive ânsia.,nojo
Ganhei um prêmio que não esperava.,surpresa
Descobri um talento que nem imaginava.,surpresa
Ver falta de higiene em restaurantes me incomoda.,nojo
Ganhei um presente especial de aniversário.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Não consegui o que tanto queria.,tristeza
Não aceito ser tratado desse jeito.,raiva
O cheiro daquele lugar era insuportável.,nojo
Meu cachorro pulou em mim de alegria.,alegria
O mau cheiro me fez sair imediatamente.,nojo
Ganhei um presente especial de aniversário.,alegria
Tenho medo de altura desde pequeno.,medo
Discuti feio no trânsito hoje.,raiva
O cheiro daquele lugar era insuportável.,nojo
Ganhei um prêmio que não esperava.,surpresa
Ouvir minha música favorita me deixou animado.,alegria
Barulhos estranhos me deixam nervoso à noite.,medo
A injustiça me deixa indignado.,raiva
O pôr do sol estava lindo esta tarde.,alegria
Não gosto de lugares muito cheios, fico tenso.,medo
A comida estava estragada e tive ânsia.,nojo
Fui promovido de última hora.,surpresa
O silêncio me faz sentir mais só.,tristeza
Me despedi de alguém muito querido.,tristeza
O cheiro daquele lugar era insuportável.,nojo
Ver falta de higiene em restaurantes me incomoda.,nojo
Achei dinheiro no bolso do casaco.,surpresa
Me convidaram para viajar de repente.,surpresa
Não consegui o que tanto queria.,tristeza
Ganhei um prêmio que não esperava.,surpresa
Meu cachorro pulou em mim de alegria.,alegria
Enfrentar desafios desconhecidos me apavora.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
Sinto saudades dos velhos tempos.,tristeza
O filme era tão triste que chorei.,tristeza
Ver falta de higiene em restaurantes me incomoda.,nojo
Hoje tudo parece dar errado.,tristeza
Achei dinheiro no bolso do casaco.,surpresa
Estou cansado de tanta desorganização.,raiva
A comida estava estragada e tive ânsia.,nojo
Detesto insetos dentro de casa.,nojo
Estou cansado de tanta desorganização.,raiva
O escuro me causa ansiedade.,medo
Ganhei um prêmio que não esperava.,surpresa
O pôr do sol estava lindo esta tarde.,alegria
Ouvir minha música favorita me deixou animado.,alegria
Ouvir minha música favorita me deixou animado.,alegria
Sinto saudades dos velhos tempos.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
Ganhei um presente especial de aniversário.,alegria
O mau cheiro me fez sair imediatamente.,nojo
Ganhei um prêmio que não esperava.,surpresa
Achei dinheiro no bolso do casaco.,surpresa
Não consegui o que tanto queria.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
Enfrentar desafios desconhecidos me apavora.,medo
O silêncio me faz sentir mais só.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
Me despedi de alguém muito querido.,tristeza
Ganhei um prêmio que não esperava.,surpresa
Meu colega foi muito desrespeitoso comigo.,raiva
Meus amigos vieram me visitar de surpresa.,alegria
A injustiça me deixa indignado.,raiva
Não consegui o que tanto queria.,tristeza
Discuti feio no trânsito hoje.,raiva
Meus amigos vieram me visitar de surpresa.,alegria
Me despedi de alguém muito querido.,tristeza
O cheiro daquele lugar era insuportável.,nojo
O escuro me causa ansiedade.,medo
Ver falta de higiene em restaurantes me incomoda.,nojo
Achei dinheiro no bolso do casaco.,surpresa
Não consegui o que tanto queria.,tristeza
Estou cansado de tanta desorganização.,raiva
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Ver falta de higiene em restaurantes me incomoda.,nojo
Meus amigos vieram me visitar de surpresa.,alegria
O pôr do sol estava lindo esta tarde.,alegria
O escuro me causa ansiedade.,medo
Ouvir minha música favorita me deixou animado.,alegria
Me convidaram para viajar de repente.,surpresa
Sinto saudades dos velhos tempos.,tristeza
A injustiça me deixa indignado.,raiva
A injustiça me deixa indignado.,raiva
O mau cheiro me fez sair imediatamente.,nojo
Ver falta de higiene em restaurantes me incomoda.,nojo
Ouvir minha música favorita me deixou animado.,alegria
Ouvir minha música favorita me deixou animado.,alegria
Ver lixo espalhado me dá repulsa.,nojo
O pôr do sol estava lindo esta tarde.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Ver lixo espalhado me dá repulsa.,nojo
O filme era tão triste que chorei.,tristeza
Achei dinheiro no bolso do casaco.,surpresa
Detesto insetos dentro de casa.,nojo
Não gosto de lugares muito cheios, fico tenso.,medo
O escuro me causa ansiedade.,medo
Meus amigos vieram me visitar de surpresa.,alegria
Não consegui o que tanto queria.,tristeza
Discuti feio no trânsito hoje.,raiva
Me convidaram para viajar de repente.,surpresa
Ganhei um presente especial de aniversário.,alegria
O cheiro daquele lugar era insuportável.,nojo
Barulhos estranhos me deixam nervoso à noite.,medo
Não consegui o que tanto queria.,tristeza
O silêncio me faz sentir mais só.,tristeza
Ganhei um prêmio que não esperava.,surpresa
Não consegui o que tanto queria.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Hoje tudo parece dar errado.,tristeza
Meu cachorro pulou em mim de alegria.,alegria
Me convidaram para viajar de repente.,surpresa
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
A comida estava estragada e tive ânsia.,nojo
Não gosto de lugares muito cheios, fico tenso.,medo
Ganhei um presente especial de aniversário.,alegria
Não consegui o que tanto queria.,tristeza
O silêncio me faz sentir mais só.,tristeza
Não gosto de lugares muito cheios, fico tenso.,medo
A comida estava estragada e tive ânsia.,nojo
Não gosto de lugares muito cheios, fico tenso.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
O cheiro daquele lugar era insuportável.,nojo
Ver lixo espalhado me dá repulsa.,nojo
Meu colega foi muito desrespeitoso comigo.,raiva
Não aceito ser tratado desse jeito.,raiva
Ganhei um prêmio que não esperava.,surpresa
Ouvir minha música favorita me deixou animado.,alegria
A injustiça me deixa indignado.,raiva
Meu colega foi muito desrespeitoso comigo.,raiva
Meu colega foi muito desrespeitoso comigo.,raiva
Enfrentar desafios desconhecidos me apavora.,medo
Recebi uma ligação inesperada.,surpresa
O mau cheiro me fez sair imediatamente.,nojo
A comida estava estragada e tive ânsia.,nojo
O filme era tão triste que chorei.,tristeza
Achei dinheiro no bolso do casaco.,surpresa
Ver falta de higiene em restaurantes me incomoda.,nojo
O silêncio me faz sentir mais só.,tristeza
A comida estava estragada e tive ânsia.,nojo
Sinto saudades dos velhos tempos.,tristeza
Não consegui o que tanto queria.,tristeza
Achei dinheiro no bolso do casaco.,surpresa
O filme era tão triste que chorei.,tristeza
A injustiça me deixa indignado.,raiva
Não aceito ser tratado desse jeito.,raiva
O mau cheiro me fez sair imediatamente.,nojo
Não gosto de lugares muito cheios, fico tenso.,medo
Ganhei um prêmio que não esperava.,surpresa
Recebi uma ligação inesperada.,surpresa
Meu cachorro pulou em mim de alegria.,alegria
Discuti feio no trânsito hoje.,raiva
O mau cheiro me fez sair imediatamente.,nojo
Achei dinheiro no bolso do casaco.,surpresa
Ouvir minha música favorita me deixou animado.,alegria
Detesto insetos dentro de casa.,nojo
Ganhei um presente especial de aniversário.,alegria
Ver falta de higiene em restaurantes me incomoda.,nojo
Não aceito ser tratado desse jeito.,raiva
Não consegui o que tanto queria.,tristeza
A comida estava estragada e tive ânsia.,nojo
O escuro me causa ansiedade.,medo
O silêncio me faz sentir mais só.,tristeza
Enfrentar desafios desconhecidos me apavora.,medo
O escuro me causa ansiedade.,medo
Recebi uma ligação inesperada.,surpresa
Achei dinheiro no bolso do casaco.,surpresa
Meus amigos vieram me visitar de surpresa.,alegria
Hoje tudo parece dar errado.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Discuti feio no trânsito hoje.,raiva
Ver lixo espalhado me dá repulsa.,nojo
Estou cansado de tanta desorganização.,raiva
Ganhei um prêmio que não esperava.,surpresa
Sonhei com algo assustador e acordei suando.,medo
Não aceito ser tratado desse jeito.,raiva
Sinto saudades dos velhos tempos.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
Meus amigos vieram me visitar de surpresa.,alegria
O pôr do sol estava lindo esta tarde.,alegria
A comida estava estragada e tive ânsia.,nojo
Detesto insetos dentro de casa.,nojo
Meus amigos vieram me visitar de surpresa.,alegria
Barulhos estranhos me deixam nervoso à noite.,medo
Ver lixo espalhado me dá repulsa.,nojo
Ouvir minha música favorita me deixou animado.,alegria
Sinto saudades dos velhos tempos.,tristeza
Meus amigos vieram me visitar de surpresa.,alegria
O pôr do sol estava lindo esta tarde.,alegria
O filme era tão triste que chorei.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Me convidaram para viajar de repente.,surpresa
O filme era tão triste que chorei.,tristeza
Meus amigos vieram me visitar de surpresa.,alegria
Não gosto de lugares muito cheios, fico tenso.,medo
Tenho medo de altura desde pequeno.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
O cheiro daquele lugar era insuportável.,nojo
Ganhei um presente especial de aniversário.,alegria
O cheiro daquele lugar era insuportável.,nojo
O silêncio me faz sentir mais só.,tristeza
O filme era tão triste que chorei.,tristeza
Sonhei com algo assustador e acordei suando.,medo
Achei dinheiro no bolso do casaco.,surpresa
Recebi uma ligação inesperada.,surpresa
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
O cheiro daquele lugar era insuportável.,nojo
Meus amigos vieram me visitar de surpresa.,alegria
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
O filme era tão triste que chorei.,tristeza
Meu cachorro pulou em mim de alegria.,alegria
Achei dinheiro no bolso do casaco.,surpresa
Ouvir minha música favorita me deixou animado.,alegria
Hoje tudo parece dar errado.,tristeza
Recebi uma ligação inesperada.,surpresa
Não aceito ser tratado desse jeito.,raiva
Tenho medo de altura desde pequeno.,medo
Não gosto de lugares muito cheios, fico tenso.,medo
Me convidaram para viajar de repente.,surpresa
Discuti feio no trânsito hoje.,raiva
Não aceito ser tratado desse jeito.,raiva
Tenho medo de altura desde pequeno.,medo
A comida estava estragada e tive ânsia.,nojo
Enfrentar desafios desconhecidos me apavora.,medo
O silêncio me faz sentir mais só.,tristeza
Discuti feio no trânsito hoje.,raiva
Hoje recebi uma ótima notícia no trabalho.,alegria
Tenho medo de altura desde pequeno.,medo
Ouvir minha música favorita me deixou animado.,alegria
O filme era tão triste que chorei.,tristeza
Ganhei um presente especial de aniversário.,alegria
A injustiça me deixa indignado.,raiva
Sinto saudades dos velhos tempos.,tristeza
Sonhei com algo assustador e acordei suando.,medo
O mau cheiro me fez sair imediatamente.,nojo
Meu colega foi muito desrespeitoso comigo.,raiva
Fui promovido de última hora.,surpresa
Ganhei um presente especial de aniversário.,alegria
Não consegui o que tanto queria.,tristeza
Sonhei com algo assustador e acordei suando.,medo
Me convidaram para viajar de repente.,surpresa
Barulhos estranhos me deixam nervoso à noite.,medo
Descobri um talento que nem imaginava.,surpresa
Estou cansado de tanta desorganização.,raiva
A injustiça me deixa indignado.,raiva
Ouvir minha música favorita me deixou animado.,alegria
Não consegui o que tanto queria.,tristeza
Não consegui o que tanto queria.,tristeza
Não aceito ser tratado desse jeito.,raiva
Fui promovido de última hora.,surpresa
O cheiro daquele lugar era insuportável.,nojo
O mau cheiro me fez sair imediatamente.,nojo
Ver lixo espalhado me dá repulsa.,nojo
Barulhos estranhos me deixam nervoso à noite.,medo
Tenho medo de altura desde pequeno.,medo
O escuro me causa ansiedade.,medo
Sonhei com algo assustador e acordei suando.,medo
Tenho medo de altura desde pequeno.,medo
O silêncio me faz sentir mais só.,tristeza
A injustiça me deixa indignado.,raiva
O mau cheiro me fez sair imediatamente.,nojo
Hoje tudo parece dar errado.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
O pôr do sol estava lindo esta tarde.,alegria
Ganhei um presente especial de aniversário.,alegria
O silêncio me faz sentir mais só.,tristeza
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Não consegui o que tanto queria.,tristeza
Hoje tudo parece dar errado.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
A injustiça me deixa indignado.,raiva
Meu colega foi muito desrespeitoso comigo.,raiva
Me despedi de alguém muito querido.,tristeza
Hoje recebi uma ótima notícia no trabalho.,alegria
Tenho medo de altura desde pequeno.,medo
O pôr do sol estava lindo esta tarde.,alegria
Ganhei um presente especial de aniversário.,alegria
Detesto insetos dentro de casa.,nojo
Ganhei um presente especial de aniversário.,alegria
Me convidaram para viajar de repente.,surpresa
Detesto insetos dentro de casa.,nojo
Barulhos estranhos me deixam nervoso à noite.,medo
Barulhos estranhos me deixam nervoso à noite.,medo
Ganhei um prêmio que não esperava.,surpresa
O pôr do sol estava lindo esta tarde.,alegria
O escuro me causa ansiedade.,medo
Recebi uma ligação inesperada.,surpresa
Não aceito ser tratado desse jeito.,raiva
Barulhos estranhos me deixam nervoso à noite.,medo
O cheiro daquele lugar era insuportável.,nojo
Enfrentar desafios desconhecidos me apavora.,medo
Atrasaram a entrega do meu pedido, fiquei bravo.,raiva
Ver falta de higiene em restaurantes me incomoda.,nojo
O filme era tão triste que chorei.,tristeza
O mau cheiro me fez sair imediatamente.,nojo
Descobri um talento que nem imaginava.,surpresa
Ver lixo espalhado me dá repulsa.,nojo
O silêncio me faz sentir mais só.,tristeza
Recebi uma ligação inesperada.,surpresa
Ver falta de higiene em restaurantes me incomoda.,nojo
Ganhei um prêmio que não esperava.,surpresa
Ver lixo espalhado me dá repulsa.,nojo
Ver lixo espalhado me dá repulsa.,nojo
Ganhei um prêmio que não esperava.,surpresa
Meus amigos vieram me visitar de surpresa.,alegria
O mau cheiro me fez sair imediatamente.,nojo
O silêncio me faz sentir mais só.,tristeza
Enfrentar desafios desconhecidos me apavora.,medo
O cheiro daquele lugar era insuportável.,nojo
A injustiça me deixa indignado.,raiva
O silêncio me faz sentir mais só.,tristeza
Me convidaram para viajar de repente.,surpresa
Sonhei com algo assustador e acordei suando.,medo
Não aceito ser tratado desse jeito.,raiva
Detesto insetos dentro de casa.,nojo
Tenho medo de altura desde pequeno.,medo
Sonhei com algo assustador e acordei suando.,medo
Achei dinheiro no bolso do casaco.,surpresa
Ver falta de higiene em restaurantes me incomoda.,nojo
Me convidaram para viajar de repente.,surpresa
Não gosto de lugares muito cheios, fico tenso.,medo
Ganhei um presente especial de aniversário.,alegria
Detesto insetos dentro de casa.,nojo
O cheiro daquele lugar era insuportável.,nojo
Me convidaram para viajar de repente.,surpresa
Achei dinheiro no bolso do casaco.,surpresa
O escuro me causa ansiedade.,medo
Achei dinheiro no bolso do casaco.,surpresa
Achei dinheiro no bolso do casaco.,surpresa
O cheiro daquele lugar era insuportável.,nojo
Ganhei um prêmio que não esperava.,surpresa
Ganhei um presente especial de aniversário.,alegria
Discuti feio no trânsito hoje.,raiva
Não consegui o que tanto queria.,tristeza
Ver falta de higiene em restaurantes me incomoda.,nojo
A comida estava estragada e tive ânsia.,nojo
A comida estava estragada e tive ânsia.,nojo
O silêncio me faz sentir mais só.,tristeza
Discuti feio no trânsito hoje.,raiva
Recebi uma ligação inesperada.,surpresa
